"COU","Pays","PER","Périodes","IND","Indicateur","GEN","Genre","AGE","Groupe d'âge","VAL","Valeur","Value","Flag Codes","Flags"
"CAN","Canada","TIME02","2002","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",33.9,,
"CAN","Canada","TIME03","2003","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",33.5,,
"CAN","Canada","TIME04","2004","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",33.3,,
"CAN","Canada","TIME05","2005","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",31.5,,
"CAN","Canada","TIME06","2006","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",31.9,,
"CAN","Canada","TIME07","2007","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",31.4,,
"CAN","Canada","TIME08","2008","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",29.8,,
"CAN","Canada","TIME09","2009","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",29.1,,
"CAN","Canada","TIME10","2010","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",28.2,,
"CAN","Canada","TIME11","2011","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",25.8,,
"CAN","Canada","TIME12","2012","MORTHSTO","Mortalité à 30 jours après admission pour AVC hémorragique (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",25.5,,
