"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2000","2000",79.3,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2001","2001",79.7,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2002","2002",80,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2003","2003",80.3,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2004","2004",80.6,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2005","2005",80.9,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2006","2006",81.1,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2007","2007",81.4,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2008","2008",81.5,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2009","2009",81.6,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2010","2010",81.8,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2011","2011",82,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2012","2012",82.1,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2013","2013",82.2,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2014","2014",82.4,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2015","2015",82.5,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2016","2016",82.5,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2017","2017",82.6,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2018","2018",82.8,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUS","Australie","2019","2019",83,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2000","2000",78.2,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2001","2001",78.7,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2002","2002",78.8,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2003","2003",78.7,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2004","2004",79.3,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2005","2005",79.4,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2006","2006",80,,
"EVIETOTA","Population totale à la naissance","EVIDUREV","Années","AUT","Autriche","2007","2007",80.3,,
