"COU","Pays","PER","Périodes","IND","Indicateur","GEN","Genre","AGE","Groupe d'âge","VAL","Valeur","Value","Flag Codes","Flags"
"CAN","Canada","TIME02","2002","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11,,
"CAN","Canada","TIME03","2003","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.8,,
"CAN","Canada","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.5,,
"CAN","Canada","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.1,,
"CAN","Canada","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.9,,
"CAN","Canada","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.1,,
"CAN","Canada","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.6,,
"CAN","Canada","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.2,,
"CAN","Canada","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7.7,,
"CAN","Canada","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7.4,,
"CAN","Canada","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7,,
"CZE","République tchèque","TIME00","2000","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",18.3,,
"CZE","République tchèque","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.5,,
"CZE","République tchèque","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.3,,
"CZE","République tchèque","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.2,,
"CZE","République tchèque","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.9,,
"DNK","Danemark","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.7,,
"DNK","Danemark","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.2,,
"DNK","Danemark","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.1,,
"DNK","Danemark","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.1,,
"DNK","Danemark","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.5,,
"DNK","Danemark","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.3,,
"DNK","Danemark","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.5,,
"FIN","Finlande","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.3,,
"FIN","Finlande","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.7,,
"FIN","Finlande","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.9,,
"FIN","Finlande","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.7,,
"FIN","Finlande","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.7,,
"FIN","Finlande","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13,,
"FIN","Finlande","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.4,,
"FIN","Finlande","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.8,,
"HUN","Hongrie","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",21.6,,
"HUN","Hongrie","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",21.5,,
"HUN","Hongrie","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",20.9,,
"HUN","Hongrie","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",20.4,,
"HUN","Hongrie","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",19.1,,
"HUN","Hongrie","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",18.8,,
