"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2000","2000",583,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2001","2001",591,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2002","2002",561,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2003","2003",540,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2004","2004",521,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2005","2005",487,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2006","2006",480,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2007","2007",470,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2008","2008",430,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2009","2009",412,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2010","2010",381,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2011","2011",363,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2012","2012",365,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2013","2013",329,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2014","2014",336,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2015","2015",309,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2016","2016",301,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2017","2017",295,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2018","2018",298,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","EST","Estonie","2019","2019",281,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2000","2000",265,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2001","2001",262,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2002","2002",238,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2003","2003",249,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2004","2004",243,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2005","2005",222,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2006","2006",227,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2007","2007",198,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2008","2008",201,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2009","2009",197,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2010","2010",220,,
"AVDMAVOI","Mortalité évitable (grâce à prévention+traitements)","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","CRI","Costa Rica","2011","2011",205,,
