"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2000","2000",230,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2001","2001",224,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2002","2002",223,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2003","2003",222,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2004","2004",222,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2005","2005",216,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2006","2006",217,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2007","2007",215,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2008","2008",216,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2009","2009",214,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2010","2010",214,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2011","2011",213,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2012","2012",210,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2013","2013",208,,
"AVDMPRVM","Mortalité évitable grâce à la prévention","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","BRA","Brésil","2014","2014",204,,
