"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2000","2000",101,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2001","2001",98,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2002","2002",96,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2003","2003",94,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2004","2004",89,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2005","2005",86,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2006","2006",82,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2007","2007",80,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2008","2008",77,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2009","2009",75,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2010","2010",73,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2011","2011",70,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2012","2012",68,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2013","2013",69,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2014","2014",66,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2015","2015",67,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2016","2016",66,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2017","2017",64,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2018","2018",64,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","DEU","Allemagne","2019","2019",62,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2000","2000",104,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2001","2001",100,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2002","2002",97,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2003","2003",91,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2004","2004",86,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2005","2005",79,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2006","2006",75,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2007","2007",70,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2008","2008",65,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2009","2009",60,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2010","2010",59,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2011","2011",56,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2012","2012",55,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2013","2013",51,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2014","2014",50,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2015","2015",49,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2016","2016",47,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2017","2017",45,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2018","2018",44,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","KOR","Corée","2019","2019",42,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2000","2000",113,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2001","2001",111,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2002","2002",110,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2003","2003",107,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2004","2004",100,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2005","2005",96,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2006","2006",90,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2007","2007",83,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2008","2008",82,,
"AVDMTRTM","Mortalité évitable grâce aux traitements","TXCMILTX","Décès pour 100 000 personnes (taux standardisés)","SVN","Slovénie","2009","2009",79,,
