"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2000","2000",66.48,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2001","2001",66.56,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2002","2002",65.86,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2003","2003",65.21,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2004","2004",64.77,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2005","2005",64.53,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2006","2006",64.3,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2007","2007",63.09,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2008","2008",62.12,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2009","2009",61.5,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2010","2010",61.05,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2011","2011",60.21,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2012","2012",59.25,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2013","2013",58.76,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2014","2014",56.31,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2015","2015",55.89,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2016","2016",55.93,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2017","2017",53.94,"B","Rupture"
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUS","Australie","2018","2018",53.6,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2000","2000",33.58,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2001","2001",32.83,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2002","2002",33.04,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2003","2003",32.14,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2004","2004",32.18,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2005","2005",32.09,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2006","2006",31.81,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2007","2007",32.43,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2008","2008",31.97,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2009","2009",31.88,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2010","2010",31.92,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2011","2011",32.41,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2012","2012",32.86,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2013","2013",32.78,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2014","2014",32.65,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2015","2015",32.17,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2016","2016",31.25,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2017","2017",30.8,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2018","2018",29.86,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","AUT","Autriche","2019","2019",29.73,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2000","2000",21.95,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2001","2001",21.48,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2002","2002",21.1,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2003","2003",20.82,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2004","2004",20.54,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2005","2005",20.42,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2006","2006",20,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2007","2007",19.58,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2008","2008",19.14,,
"HOSPTHOS","Hôpitaux","NBMILPNB","Par million d'habitants","BEL","Belgique","2009","2009",18.52,,
