"VAR","Variable","UNIT","Mesure","COU","Pays","YEA","Année","Value","Flag Codes","Flags"
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2000","2000",4.04,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2001","2001",3.95,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2002","2002",3.93,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2003","2003",3.97,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2004","2004",4,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2005","2005",3.9,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2006","2006",3.93,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2008","2008",3.82,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2009","2009",3.77,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2010","2010",3.78,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2011","2011",3.79,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2012","2012",3.75,"E","Valeur estimée"
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2013","2013",3.74,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2014","2014",3.79,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2015","2015",3.82,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUS","Australie","2016","2016",3.84,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUT","Autriche","2000","2000",7.95,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUT","Autriche","2001","2001",7.85,,
"HOPITBED","Nombre total de lits d'hôpitaux","RTOINPNB","Pour 1 000 personnes","AUT","Autriche","2002","2002",7.81,,
