"HF","RΘgime de financement","HC","Fonction","HP","Prestataire","MEASURE","Mesure","LOCATION","Pays","TIME","AnnΘe","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2010","2010","PC","Pourcentage","0","Unités",,,9.593,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2011","2011","PC","Pourcentage","0","Unités",,,9.52,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2012","2012","PC","Pourcentage","0","Unités",,,9.652,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2013","2013","PC","Pourcentage","0","Unités",,,9.36,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2014","2014","PC","Pourcentage","0","Unités",,,9.402,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2015","2015","PC","Pourcentage","0","Unités",,,9.283,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2016","2016","PC","Pourcentage","0","Unités",,,9.239,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2017","2017","PC","Pourcentage","0","Unités",,,8.953,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2018","2018","PC","Pourcentage","0","Unités",,,9.024,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NZL","Nouvelle-Zélande","2019","2019","PC","Pourcentage","0","Unités",,,9.069,"E","Valeur estimée"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2010","2010","PC","Pourcentage","0","Unités",,,11.226,,
