"COU","Pays","PER","Périodes","IND","Indicateur","GEN","Genre","AGE","Groupe d'âge","VAL","Valeur","Value","Flag Codes","Flags"
"AUS","Australie","TIME12","2012","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",4.9,"B","Rupture"
"AUS","Australie","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.2,,
"CAN","Canada","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.6,,
"FRA","France","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.2,,
"DEU","Allemagne","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.3,,
"ITA","Italie","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.2,"d","Déviation"
"NLD","Pays-Bas","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",16.3,,
"NOR","Norvège","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.1,,
"POL","Pologne","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",21.5,,
"PRT","Portugal","TIME15","2015","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.3,,
"SWE","Suède","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",2.1,,
"CHE","Suisse","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7,,
"GBR","Royaume-Uni","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",2.4,,
"USA","États-Unis","TIME13","2013","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",21.5,,
"ISR","Israël","TIME05","2005","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.1,,
"ISR","Israël","TIME07","2007","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",6.2,,
